"X60mins","X240mins","X480mins","X720mins","X1440mins","X2160mins","X3600mins"
"AT5G57660",159.154,169.246,233.788,310.34,455.481,540.61,600.741
"AT2G25900",46.298,81.339,89.554,117.859,160.421,197.234,252.531
"AT5G59780",32.664,42.582,46.474,54.533,75.284,107.678,147.168
"AT5G44260",10.45,51.356,57.626,78.917,87.233,98.023,101.346
"AT1G49130",14.827,41.874,54.84,66.243,101.884,92.421,67.732
"AT5G49450",45.323,77.823,87.338,110.051,98.761,111.617,131.582
"AT1G51070",102.168,89.005,80.333,70.26,52.57,44.37,32.334
"AT1G79700",18.014,35.154,44.025,52.492,72.08,83.631,83.828
"AT1G06040",114.064,39.945,52.305,61.404,49.236,54.65,63.813
"AT5G42520",27.113,33.757,39.376,47.822,70.602,75.392,79.444
"AT2G24260",13.537,15.14,19.37,24.428,37.248,52.093,63.245
"AT5G24800",23.849,26.547,26.78,35.395,59.155,61.364,67.989
"AT1G68520",74.637,64.766,58.741,52.404,36.662,28.226,27.268
"AT3G02830",58.262,35.3,30.08,22.488,15.296,10.148,7.087
"AT1G30970",22.315,25.102,27.585,29.58,48.945,59.705,56.564
"AT2G21240",30.581,37.475,41.389,43.923,50.352,60.49,76.379
"AT2G45050",21.516,36.066,46.943,54.591,66.445,60.131,44.274
"AT5G24930",272.726,274.257,287.543,305.172,300.047,297.773,267.028
"AT1G25440",62.661,44.492,38.169,32.662,23.908,20.386,22.532
"AT5G46760",17.562,19.392,20.713,23.177,34.145,42.829,56.659
"AT3G57800",44.375,56.981,61.288,67.138,81.269,83.677,75.841
"AT3G29035",9.643,15.715,19.331,24.078,30.606,39.807,48.203
"AT5G53660",14.671,34.126,36.468,40.88,31.416,15.164,5.903
"AT2G19810",18.415,33.607,38.991,41.212,50.163,51.779,55.421
"AT4G29190",20.162,38.275,42.356,43.62,56.856,54.87,45.496
"AT3G04930",18.62,24.197,26.422,29.552,38.439,44.944,51.822
"AT5G07580",66.537,40.362,36.475,33.62,32.85,36.867,38.593
"AT3G58120",66.431,71.372,81.923,90.602,95.155,95.994,82.183
"AT5G53980",10.25,29.723,36.471,41.709,36.451,39.639,43.203
"AT2G37120",37.787,41.561,45.037,37.249,24.266,19.965,17.041
"AT4G40060",33.654,35.418,40.052,40.463,50.535,55.237,61.206
"AT5G44190",64.072,53.95,52.01,46.72,35.085,35.362,52.795
"AT5G28300",20.437,38.168,40.189,45.993,53.484,41.096,35.438
"AT3G50700",10.116,14.27,13.957,15.095,23.038,27.2,38.595
"AT4G32040",19.095,23.207,24.144,25.529,32.295,37.538,47.499
"AT2G28200",17.172,22.27,26.87,30.918,40.448,41.434,38.761
"AT2G33480",19.731,18.099,20.324,22.651,33.212,38.617,40.016
"AT3G46130",12.361,11.861,14.854,17.895,27.886,32.288,33.407
"AT1G75490",3.699,5.726,7.525,10.1,17.42,22.323,28.32
"AT3G60030",47.569,55.472,55.438,56.386,64.216,64.224,75.571
"AT5G28770",22.944,46.941,43.654,42.373,44.594,42.118,50.123
"AT3G11100",16.45,22.809,25.04,26.714,30.87,32.671,43.685
"AT2G31380",25.91,7.352,8.246,5.933,2.9,1.688,4.092
"AT1G07530",17.105,19.502,21.088,22.724,28.618,32.797,39.495
"AT5G11270",35.593,26.055,23.8,19.399,14.147,14.311,14.334
"AT3G46600",34.231,41.525,40.364,42.365,52.103,50.099,57.365
"AT4G00150",21.142,23.47,23.392,27.011,37.005,37.026,40.566
"AT1G03790",10.91,11.688,14.198,19.126,27.029,27.946,27.615
"AT5G51780",39.981,54.938,58.775,59.603,49.45,59.801,60.093
"AT3G10490",11.236,15.203,14.194,14.689,22.482,25.797,31.459
"AT5G16540",28.534,21.724,19.882,16.225,13.447,9.701,7.911
